|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  60 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            4.65292  |        0.00354764 |       0.0044576  |                 64 |                   64 |       2 |         0.198345  |
|  89 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            4.68168  |        0.00419072 |       0.00453898 |                 64 |                   64 |       4 |         0.198345  |
|  94 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            4.79815  |        0.00434792 |       0.00483248 |                 64 |                   64 |       8 |         0.198345  |
|  14 |               163404 |        131004 |          32400 |                 24 |            24 |              0 |          0.000147 |         0.000147 |          0        |               0 |            5.22044  |        0.00476889 |       0.00553201 |                 64 |                   64 |      16 |         0.198345  |
| 149 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            0.638728 |        0.00138642 |       0.00164656 |                  8 |                   32 |       1 |         0.122769  |
|   1 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            0.647748 |        0.00160144 |       0.00169547 |                  8 |                   32 |       2 |         0.122769  |
|  80 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            0.673926 |        0.00167185 |       0.00188464 |                  8 |                   32 |       4 |         0.122769  |
|  16 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            1.18924  |        0.00185347 |       0.00311707 |                 16 |                   32 |       1 |         0.198345  |
| 152 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            1.19804  |        0.00236843 |       0.00317827 |                 16 |                   32 |       2 |         0.198345  |
| 106 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            1.22337  |        0.00244952 |       0.00326834 |                 16 |                   32 |       4 |         0.198345  |
|   0 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            1.3301   |        0.00263949 |       0.00367359 |                 16 |                   32 |       8 |         0.198345  |
|  92 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            2.36666  |        0.00241397 |       0.0035936  |                 32 |                   32 |       1 |         0.198345  |
|  97 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            2.37405  |        0.00280442 |       0.00368919 |                 32 |                   32 |       2 |         0.198345  |
|   9 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            2.40169  |        0.00346348 |       0.00378406 |                 32 |                   32 |       4 |         0.198345  |
