|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 163 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            5.17218  |        0.00369343 |       0.00540693 |                 64 |                    8 |       1 |         0.198345  |
|  36 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            5.20842  |        0.00587973 |       0.00716333 |                 64 |                    8 |       4 |         0.245104  |
| 154 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            5.33004  |        0.00863865 |       0.0074718  |                 64 |                    8 |       8 |         0.245104  |
| 140 |               682572 |        544188 |         138384 |                768 |           768 |              0 |          0.001125 |         0.001125 |          0        |               0 |            5.7539   |        0.0141042  |       0.00796793 |                 64 |                    8 |      16 |         0.245104  |
|  34 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            2.90125  |        0.00291407 |       0.00463935 |                 32 |                    4 |       1 |         0.198345  |
| 127 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            2.91074  |        0.00386718 |       0.00632362 |                 32 |                    4 |       2 |         0.245104  |
| 113 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            2.9566   |        0.00525587 |       0.0065013  |                 32 |                    4 |       4 |         0.245104  |
|  44 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            3.08108  |        0.00813257 |       0.0068376  |                 32 |                    4 |       8 |         0.245104  |
| 110 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            3.49709  |        0.0137179  |       0.00735222 |                 32 |                    4 |      16 |         0.245104  |
|  21 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            5.72314  |        0.00448792 |       0.00785333 |                 64 |                    4 |       1 |         0.245104  |
