|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  47 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.3267   |        0.0025005  |       0.00350961 |                 16 |                    8 |       2 |         0.198345  |
|  86 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.35825  |        0.00325521 |       0.00365937 |                 16 |                    8 |       4 |         0.198345  |
|  62 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.46184  |        0.00466054 |       0.00389189 |                 16 |                    8 |       8 |         0.198345  |
|  27 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            1.8732   |        0.00514206 |       0.00461744 |                 16 |                    8 |      16 |         0.198345  |
| 121 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            2.61096  |        0.0027803  |       0.00402312 |                 32 |                    8 |       1 |         0.198345  |
| 156 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            2.62704  |        0.00348571 |       0.00413226 |                 32 |                    8 |       2 |         0.198345  |
| 150 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            2.66221  |        0.00486419 |       0.004278   |                 32 |                    8 |       4 |         0.198345  |
| 111 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            2.77155  |        0.00755843 |       0.00450082 |                 32 |                    8 |       8 |         0.198345  |
| 161 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            3.1815   |        0.00811044 |       0.00524636 |                 32 |                    8 |      16 |         0.198345  |
|  83 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            5.1594   |        0.00453124 |       0.0069958  |                 64 |                    8 |       2 |         0.245104  |
| 163 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            5.17218  |        0.00369343 |       0.00540693 |                 64 |                    8 |       1 |         0.198345  |
|  36 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            5.20842  |        0.00587973 |       0.00716333 |                 64 |                    8 |       4 |         0.245104  |
| 154 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            5.33004  |        0.00863865 |       0.0074718  |                 64 |                    8 |       8 |         0.245104  |
| 140 |                37452 |         30396 |           7056 |                 48 |            48 |              0 |          0.001282 |         0.001282 |                 0 |               0 |            5.7539   |        0.0141042  |       0.00796793 |                 64 |                    8 |      16 |         0.245104  |
| 118 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.396899 |        0.00132088 |       0.00133915 |                  4 |                    4 |       1 |         0.100959  |
|  99 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.417805 |        0.00178965 |       0.00118842 |                  4 |                    4 |       2 |         0.0990866 |
|  54 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.447412 |        0.00250817 |       0.00129832 |                  4 |                    4 |       4 |         0.0990866 |
|  43 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.54974  |        0.0026579  |       0.0018839  |                  4 |                    4 |       8 |         0.100959  |
|  96 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.787472 |        0.00167604 |       0.00200929 |                  8 |                    4 |       1 |         0.122769  |
| 142 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.799291 |        0.00207228 |       0.00210646 |                  8 |                    4 |       2 |         0.122769  |
| 112 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.832396 |        0.00284811 |       0.00226215 |                  8 |                    4 |       4 |         0.122769  |
|  81 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.938728 |        0.00431678 |       0.00250016 |                  8 |                    4 |       8 |         0.122769  |
|  58 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            0.94989  |        0.00340489 |       0.00309112 |                  4 |                    4 |      16 |         0.16565   |
|  61 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            1.315    |        0.00492597 |       0.00369713 |                  8 |                    4 |      16 |         0.176461  |
|  19 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            1.47955  |        0.00240605 |       0.00364399 |                 16 |                    4 |       1 |         0.198345  |
|  57 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            1.49402  |        0.00312971 |       0.00375799 |                 16 |                    4 |       2 |         0.198345  |
|  79 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            1.5296   |        0.0045521  |       0.00391435 |                 16 |                    4 |       4 |         0.198345  |
|   4 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            1.63722  |        0.00732578 |       0.00415346 |                 16 |                    4 |       8 |         0.198345  |
| 153 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            2.04647  |        0.00791499 |       0.00491252 |                 16 |                    4 |      16 |         0.198345  |
|  34 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            2.90125  |        0.00291407 |       0.00463935 |                 32 |                    4 |       1 |         0.198345  |
| 127 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            2.91074  |        0.00386718 |       0.00632362 |                 32 |                    4 |       2 |         0.245104  |
| 113 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            2.9566   |        0.00525587 |       0.0065013  |                 32 |                    4 |       4 |         0.245104  |
|  44 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            3.08108  |        0.00813257 |       0.0068376  |                 32 |                    4 |       8 |         0.245104  |
| 110 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            3.49709  |        0.0137179  |       0.00735222 |                 32 |                    4 |      16 |         0.245104  |
|  21 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            5.72314  |        0.00448792 |       0.00785333 |                 64 |                    4 |       1 |         0.245104  |
|  75 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            5.75898  |        0.00576808 |       0.00799524 |                 64 |                    4 |       2 |         0.245104  |
|  33 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            5.82777  |        0.008386   |       0.00819574 |                 64 |                    4 |       4 |         0.245104  |
| 122 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            5.96519  |        0.0137332  |       0.00853059 |                 64 |                    4 |       8 |         0.245104  |
| 120 |                37452 |         30396 |           7056 |                 96 |            96 |              0 |          0.002563 |         0.002563 |                 0 |               0 |            6.40878  |        0.0245732  |       0.00905969 |                 64 |                    4 |      16 |         0.245104  |
| 129 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.490562 |        0.00139711 |       0.0015507  |                  4 |                    2 |       1 |         0.100959  |
