|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 110 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            3.49709  |        0.0137179  |       0.00735222 |                 32 |                    4 |      16 |         0.245104  |
|  21 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            5.72314  |        0.00448792 |       0.00785333 |                 64 |                    4 |       1 |         0.245104  |
|  75 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            5.75898  |        0.00576808 |       0.00799524 |                 64 |                    4 |       2 |         0.245104  |
|  33 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            5.82777  |        0.008386   |       0.00819574 |                 64 |                    4 |       4 |         0.245104  |
| 122 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            5.96519  |        0.0137332  |       0.00853059 |                 64 |                    4 |       8 |         0.245104  |
| 120 |               280576 |        264192 |          16384 |               1024 |           113 |            911 |          0.00365  |         0.000403 |          0.003247 |               0 |            6.40878  |        0.0245732  |       0.00905969 |                 64 |                    4 |      16 |         0.245104  |
| 103 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            1.77752  |        0.00253911 |       0.00427708 |                 16 |                    2 |       1 |         0.198345  |
|  85 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            1.8679   |        0.00345909 |       0.00399613 |                 16 |                    2 |       2 |         0.169342  |
|  10 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            1.9191   |        0.00490065 |       0.00418344 |                 16 |                    2 |       4 |         0.169342  |
|  48 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            2.04033  |        0.00783483 |       0.0045222  |                 16 |                    2 |       8 |         0.169342  |
|  30 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            2.39283  |        0.0134158  |       0.00545765 |                 16 |                    2 |      16 |         0.198345  |
| 133 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            3.48444  |        0.00379567 |       0.00718274 |                 32 |                    2 |       1 |         0.245104  |
|  32 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            3.53008  |        0.00514523 |       0.00735603 |                 32 |                    2 |       2 |         0.245104  |
|  52 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            3.59175  |        0.00782808 |       0.00756009 |                 32 |                    2 |       4 |         0.245104  |
| 157 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            3.73597  |        0.013392   |       0.00792936 |                 32 |                    2 |       8 |         0.245104  |
| 114 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            4.16775  |        0.0244507  |       0.00847036 |                 32 |                    2 |      16 |         0.245104  |
