|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  82 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            3.01316  |        0.00541993 |       0.00495952 |                 32 |                   16 |      16 |         0.198345  |
| 124 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            4.88978  |        0.00356328 |       0.00480772 |                 64 |                   16 |       1 |         0.198345  |
|  71 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            4.89761  |        0.0042109  |       0.0048873  |                 64 |                   16 |       2 |         0.198345  |
| 139 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            4.93585  |        0.00555476 |       0.00502014 |                 64 |                   16 |       4 |         0.198345  |
| 159 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            5.04921  |        0.00817046 |       0.00522757 |                 64 |                   16 |       8 |         0.198345  |
|  63 |               167827 |        167827 |              0 |                200 |           200 |              0 |          0.001192 |         0.001192 |                 0 |               0 |            5.46711  |        0.00869408 |       0.00594072 |                 64 |                   16 |      16 |         0.198345  |
| 149 |               167827 |        167827 |              0 |                259 |           259 |              0 |          0.001543 |         0.001543 |                 0 |               0 |            0.638728 |        0.00138642 |       0.00164656 |                  8 |                   32 |       1 |         0.122769  |
|   1 |               167827 |        167827 |              0 |                283 |           283 |              0 |          0.001686 |         0.001686 |                 0 |               0 |            0.647748 |        0.00160144 |       0.00169547 |                  8 |                   32 |       2 |         0.122769  |
|   8 |               167827 |        167827 |              0 |                312 |           312 |              0 |          0.001859 |         0.001859 |                 0 |               0 |            0.628186 |        0.00130576 |       0.00163184 |                  8 |                   64 |       1 |         0.122769  |
|  84 |               167827 |        167827 |              0 |                330 |           330 |              0 |          0.001966 |         0.001966 |                 0 |               0 |            0.659658 |        0.00157105 |       0.0016993  |                  8 |                   16 |       1 |         0.122769  |
| 135 |               167827 |        167827 |              0 |                347 |           347 |              0 |          0.002068 |         0.002068 |                 0 |               0 |            0.667987 |        0.00161649 |       0.00177993 |                  8 |                   16 |       2 |         0.122769  |
|  69 |               167827 |        167827 |              0 |                355 |           355 |              0 |          0.002115 |         0.002115 |                 0 |               0 |            0.635244 |        0.00140033 |       0.00165757 |                  8 |                   64 |       2 |         0.122769  |
|  93 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            1.31626  |        0.00210244 |       0.00340221 |                 16 |                    8 |       1 |         0.198345  |
|  47 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            1.3267   |        0.0025005  |       0.00350961 |                 16 |                    8 |       2 |         0.198345  |
|  86 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            1.35825  |        0.00325521 |       0.00365937 |                 16 |                    8 |       4 |         0.198345  |
|  62 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            1.46184  |        0.00466054 |       0.00389189 |                 16 |                    8 |       8 |         0.198345  |
|  27 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            1.8732   |        0.00514206 |       0.00461744 |                 16 |                    8 |      16 |         0.198345  |
| 121 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            2.61096  |        0.0027803  |       0.00402312 |                 32 |                    8 |       1 |         0.198345  |
| 156 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            2.62704  |        0.00348571 |       0.00413226 |                 32 |                    8 |       2 |         0.198345  |
| 150 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            2.66221  |        0.00486419 |       0.004278   |                 32 |                    8 |       4 |         0.198345  |
| 111 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            2.77155  |        0.00755843 |       0.00450082 |                 32 |                    8 |       8 |         0.198345  |
| 161 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            3.1815   |        0.00811044 |       0.00524636 |                 32 |                    8 |      16 |         0.198345  |
|  83 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            5.1594   |        0.00453124 |       0.0069958  |                 64 |                    8 |       2 |         0.245104  |
| 163 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            5.17218  |        0.00369343 |       0.00540693 |                 64 |                    8 |       1 |         0.198345  |
|  36 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            5.20842  |        0.00587973 |       0.00716333 |                 64 |                    8 |       4 |         0.245104  |
| 154 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            5.33004  |        0.00863865 |       0.0074718  |                 64 |                    8 |       8 |         0.245104  |
| 140 |               167827 |        167827 |              0 |                400 |           400 |              0 |          0.002383 |         0.002383 |                 0 |               0 |            5.7539   |        0.0141042  |       0.00796793 |                 64 |                    8 |      16 |         0.245104  |
|  80 |               167827 |        167827 |              0 |                446 |           446 |              0 |          0.002657 |         0.002657 |                 0 |               0 |            0.673926 |        0.00167185 |       0.00188464 |                  8 |                   32 |       4 |         0.122769  |
|   2 |               167827 |        167827 |              0 |                465 |           465 |              0 |          0.002771 |         0.002771 |                 0 |               0 |            0.802464 |        0.00222154 |       0.00227444 |                  8 |                   16 |       8 |         0.122769  |
|  64 |               167827 |        167827 |              0 |                485 |           485 |              0 |          0.00289  |         0.00289  |                 0 |               0 |            0.694171 |        0.00200804 |       0.00191667 |                  8 |                   16 |       4 |         0.122769  |
|  38 |               167827 |        167827 |              0 |                529 |           529 |              0 |          0.003152 |         0.003152 |                 0 |               0 |            0.695834 |        0.00160164 |       0.00180134 |                  8 |                    8 |       1 |         0.122769  |
|  24 |               167827 |        167827 |              0 |                546 |           546 |              0 |          0.003253 |         0.003253 |                 0 |               0 |            0.705077 |        0.0019999  |       0.00189454 |                  8 |                    8 |       2 |         0.122769  |
|   7 |               167827 |        167827 |              0 |                585 |           585 |              0 |          0.003486 |         0.003486 |                 0 |               0 |            0.628916 |        0.00131142 |       0.00165027 |                  8 |                  128 |       2 |         0.122769  |
| 101 |               167827 |        167827 |              0 |                595 |           595 |              0 |          0.003545 |         0.003545 |                 0 |               0 |            0.337694 |        0.00105559 |       0.00122224 |                  4 |                   16 |       1 |         0.100959  |
| 119 |               167827 |        167827 |              0 |                633 |           633 |              0 |          0.003772 |         0.003772 |                 0 |               0 |            1.22632  |        0.00351819 |       0.00355795 |                  8 |                    8 |      16 |         0.176461  |
|  90 |               167827 |        167827 |              0 |                673 |           673 |              0 |          0.00401  |         0.00401  |                 0 |               0 |            0.847937 |        0.00291219 |       0.00234191 |                  8 |                    8 |       8 |         0.122769  |
